topic_id,topic,system,passed_gate,first_principles_derivation,falsifiability,mechanism_clarity,novelty,experimentability,average_score,review_score,recommendation,output_path
T006,When do multi-agent systems outperform single-agent systems?,firstresearch,True,4,5,5,4,5,4.6,8,weak_accept,outputs\reports\deepseek_packages\T006_firstresearch.json
T006,When do multi-agent systems outperform single-agent systems?,co_scientist,True,4,5,4,4,5,4.4,8,weak_accept,outputs\reports\deepseek_packages\T006_co_scientist.json
T006,When do multi-agent systems outperform single-agent systems?,agent_lab,True,4,5,4,3,5,4.2,8,weak_accept,outputs\reports\deepseek_packages\T006_agent_lab.json
T006,When do multi-agent systems outperform single-agent systems?,tree_search_scientist,True,3,5,3,4,5,4.0,7,borderline,outputs\reports\deepseek_packages\T006_tree_search_scientist.json
T007,What causes skill-library bloat in lifelong-learning agents?,firstresearch,True,5,5,5,4,5,4.8,8,weak_accept,outputs\reports\deepseek_packages\T007_firstresearch.json
T007,What causes skill-library bloat in lifelong-learning agents?,co_scientist,True,4,5,4,4,5,4.4,9,weak_accept,outputs\reports\deepseek_packages\T007_co_scientist.json
T007,What causes skill-library bloat in lifelong-learning agents?,agent_lab,True,4,5,4,4,5,4.4,8,weak_accept,outputs\reports\deepseek_packages\T007_agent_lab.json
T007,What causes skill-library bloat in lifelong-learning agents?,tree_search_scientist,True,4,5,4,4,5,4.4,8,weak_accept,outputs\reports\deepseek_packages\T007_tree_search_scientist.json
T008,Can self-improvement loops reduce repeated reasoning failures?,firstresearch,True,4,5,5,5,5,4.8,8,weak_accept,outputs\reports\deepseek_packages\T008_firstresearch.json
T008,Can self-improvement loops reduce repeated reasoning failures?,co_scientist,True,4,5,3,3,5,4.0,7,weak_accept,outputs\reports\deepseek_packages\T008_co_scientist.json
T008,Can self-improvement loops reduce repeated reasoning failures?,agent_lab,True,4,5,4,4,5,4.4,8,weak_accept,outputs\reports\deepseek_packages\T008_agent_lab.json
T008,Can self-improvement loops reduce repeated reasoning failures?,tree_search_scientist,True,4,5,4,3,5,4.2,7,weak_accept,outputs\reports\deepseek_packages\T008_tree_search_scientist.json
T009,How should coding-agent benchmarks isolate non-inferable requirements?,firstresearch,True,5,5,5,5,5,5.0,8,weak_accept,outputs\reports\deepseek_packages\T009_firstresearch.json
T009,How should coding-agent benchmarks isolate non-inferable requirements?,co_scientist,True,4,5,4,5,4,4.4,8,weak_accept,outputs\reports\deepseek_packages\T009_co_scientist.json
T009,How should coding-agent benchmarks isolate non-inferable requirements?,agent_lab,True,4,5,4,4,5,4.4,8,weak_accept,outputs\reports\deepseek_packages\T009_agent_lab.json
T009,How should coding-agent benchmarks isolate non-inferable requirements?,tree_search_scientist,True,4,5,5,4,5,4.6,9,weak_accept,outputs\reports\deepseek_packages\T009_tree_search_scientist.json
T010,When does retrieval help or hurt autonomous research agents?,firstresearch,True,4,5,5,5,5,4.8,8,weak_accept,outputs\reports\deepseek_packages\T010_firstresearch.json
T010,When does retrieval help or hurt autonomous research agents?,co_scientist,True,4,5,4,4,5,4.4,8,weak_accept,outputs\reports\deepseek_packages\T010_co_scientist.json
T010,When does retrieval help or hurt autonomous research agents?,agent_lab,True,4,5,3,3,4,3.8,7,borderline,outputs\reports\deepseek_packages\T010_agent_lab.json
T010,When does retrieval help or hurt autonomous research agents?,tree_search_scientist,True,4,5,4,4,5,4.4,8,weak_accept,outputs\reports\deepseek_packages\T010_tree_search_scientist.json
